PaperId;Year;MainPurpose;EducationalStage;KnowledgeArea;TypeOfSource;SourceTitle;TypeOfResearch;TypeOfEvaluation;SampleSize;Country;Institution
pruet15;2015;ImproveTeachingMethod;K12;0714 Electronics and automation;Conference;Workshop on Do-it-Yourself Networking: An Interdisciplinary Approach;SolutionProposal;Qualitative;3;UK;University of Kent
cerovac13;2013;Engagement;K12;0533 Physics;Conference;International Astronautical Congress;SolutionProposal;No evaluation;NA;Australia;The King David School
buechley07b;2007;ImproveTeachingMethod;K12;0613 Computer programming;Conference;International Conference on Computer Supported Collaborative Learning;ExperiencePaper;Quantitative;4;USA;University of Colorado
lovell11;2011;BoostCreativity;K12-University;0723 Textiles;Conference;ACM Conference on Creativity & Cognition, C&C;SolutionProposal;No evaluation;NA;USA;Massachusetts Institute of Technology
martin17;2017;Engagement;University;0613 Computer programming;Conference;International Conference on Computer Supported Education, CSEDU;SolutionProposal;No evaluation;NA;UK;University of Dundee
holz11;2011;Engagement;K12-University;0714 Electronics and automation;Conference;International Conference on Computing Education Research;SolutionProposal;Qualitative;5;Germany;RWTH Aachen University
Lawson16;2016;ReduceCosts;University;0613 Computer programming;Conference;American Society for Engineering Education conf. and exposition, ASEE;SolutionProposal;Both;5;USA;University of Maryland
shrestha11;2011;Engagement;University;0613 Computer programming;Journal;International Journal of Mobile Learning and Organisation;SolutionProposal;No evaluation;NA;UK;University of West London
wille17;2017;ImproveTeachingMethod;University;0912 Medicine;Conference;American Society for Engineering Education conf. and exposition, ASEE;SolutionProposal;No evaluation;NA;USA;University of Wisconsin-Madison
Phanomchoeng16;2016;Reusability;University;0714 Electronics and automation;Conference;IEEE International Conference on Teaching, Assessment and Learning for Engineering, TALE;SolutionProposal;Qualitative;5;Thailand;Chulalongkorn University
takemura15;2015;ImproveTeachingMethod;K12;0714 Electronics and automation;Conference;International Conference on Cognition and Exploratory Learning in the Digital Age;EvaluationResearch;Qualitative;5;Japan;Tokyo University of Agriculture and Technology
reimann15;2015;WomenEngagement;K12-University;0723 Textiles;Book;Analyzing Art, Culture, and Design in the Digital Age;EvaluationResearch;Both;6;Germany;Karlsruhe Institute of Technology
abouhilal17;2017;ReduceCosts;University;0713 Electricity and energy;Conference;International Conference on Big Data Cloud and Applications, BDCA;ExperiencePaper;No evaluation;NA;Morocco;Sultan Moulay Slimane University
agatolio17;2017;ImproveTeachingMethod;K12;0714 Electronics and automation;Journal;Advances in Intelligent Systems and Computing;ExperiencePaper;No evaluation;NA;Italy;University of Padova
allen13;2013;ImproveTeachingMethod;K12;0714 Electronics and automation;Conference;ACM Conf. on Human Factors in Computing Systems, CHI;ExperiencePaper;No evaluation;NA;UK;University of Reading
anzalone13;2013;ReduceCosts;University;0714 Electronics and automation;Journal;Sensors;ExperiencePaper;No evaluation;NA;USA;Michigan Technological Universit
chowdhury15;2015;ImproveTeachingMethod;K12-University;0613 Computer programming;Conference;American Society for Engineering Education conf. and exposition, ASEE;EvaluationResearch;Qualitative;6;USA;Virginia Tech
lee17b;2017;BoostCreativity;University;0723 Textiles;Journal;International Journal of Information and Learning Technology;ValidationResearch;Qualitative;7;USA;Utah State University
Henry16;2016;ReachMoreTargets;University;0714 Electronics and automation;Conference;American Society for Engineering Education conf. and exposition, ASEE;SolutionProposal;Qualitative;8;USA;University of Maryland
bogdanovic14;2014;ImproveTeachingMethod;University;0613 Computer programming;Conference;International Conference e-Learning 2014 - Part of the Multi Conference on Computer Science and Information Systems;EvaluationResearch;Qualitative;8;Serbia;University of Belgrade
rosen14;2014;Engagement;University;0714 Electronics and automation;Conference;American Society for Engineering Education conf. and exposition, ASEE;ExperiencePaper;Qualitative;8;USA;Drexel University 
aprile11;2011;BoostCreativity;University;0212 Design;Conference;International Conference on Engineering and Product Design Education;ExperiencePaper;No evaluation;NA;Netherlands;Delft University of Technology
avanzato13;2013;ReduceCosts;K12;0714 Electronics and automation;Conference;American Society for Engineering Education conf. and exposition, ASEE;ExperiencePaper;No evaluation;NA;USA;University of Pennsylvania
baafi11;2011;Engagement;K12;0714 Electronics and automation;Conference;International Conference on Tangible, Embedded and Embodied Interaction, TEI;ExperiencePaper;No evaluation;NA;USA;Massachusetts Institute of Technology
bareno11;2011;ImproveTeachingMethod;University;0714 Electronics and automation;Journal;IEEE Latin America Transactions;ExperiencePaper;No evaluation;NA;Colombia;Universidad Nacional de Colombia
baumstark13;2013;Engagement;University;0714 Electronics and automation;Conference;ACM Technical Symposium on Computer Science Education, SIGCSE;ExperiencePaper;No evaluation;NA;USA;University of West Georgia
benotti17;2017;Engagement;K12;0714 Electronics and automation;Journal;Advances in Intelligent Systems and Computing;ExperiencePaper;No evaluation;NA;Argentina;Universidad Nacional de Cordoba
zhang17;2017;Engagement;University;0531 Chemistry;Journal;Journal of Chemical Education;EvaluationResearch;Quantitative;9;USA;Texas Tech University
berdahl13;2013;ImproveTeachingMethod;AdultEducation;0613 Computer programming;Conference;International Conference on Tangible, Embedded and Embodied Interaction, TEI;ExperiencePaper;No evaluation;NA;Germany;Technical University of Berlin
Arora15;2015;BoostCreativity;K12;0111 Education science;Conference;International Conference on Computer and Communication Technology;ExperiencePaper;Both;11;India;University for Women
brady17;2017;WomenEngagement;K12;0723 Textiles;Journal;IEEE Transactions on Education;ExperiencePaper;No evaluation;NA;USA;Northwestern University
jang15;2015;ImproveTeachingMethod;K12;0613 Computer programming;Journal;Indian Journal of Science and Technology;EvaluationResearch;Both;11;South Korea;Korea University
kim14;2014;ImproveTeachingMethod;K12;0613 Computer programming;Journal;International Journal of Applied Engineering Research;EvaluationResearch;Both;11;South Korea;Korea University
Coonley16;2016;ReduceCosts;University;0714 Electronics and automation;Conference;American Society for Engineering Education conf. and exposition, ASEE;SolutionProposal;Both;11;USA;Duke University
brand11;2011;ImproveTeachingMethod;University;0613 Computer programming;Conference;ACM Conference on Innovation and Technology in Computer Science Education, ITiCSE;ExperiencePaper;No evaluation;NA;USA;Loyola University Chicago
turner15;2015;ReduceCosts;K12-University;0714 Electronics and automation;Conference;American Society for Engineering Education conf. and exposition, ASEE;EvaluationResearch;Qualitative;11;USA;Purdue University
